Setup,Punishment,Average Loss,Last Epoch Loss,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Last Epoch Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Reward,Mid 10 Avg Reward,Last 10 Avg Reward,First 10 Avg Loss,Mid 10 Avg Loss,Last 10 Avg Loss,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
1,1,4.524076122724916,-5.267890930175781,3,0.6713286713286714,1,0.2417582417582417,378738015.4761903,594833333.3333334,0.3308875708573986,0.5840137187539501,-2.524869047619046,0.0,379159523.80952376,317491428.5714286,378233332.13083214,0.4324968166629501,0.2375070120427128,0.3290305102297852,-3.3166666666666664,-3.1666666666666665,-2.533369408369409,7.925555211305619,5.050502818822861,4.560774009119286,[0.31166667 0.28071429 0.03095238],[0.29666667 0.21738095 0.07928571],[0.2530813 0.2022392 0.0508421]
1,1,5.8204779305327685,8.288233757019043,0,0.7152847152847153,4,0.2067932067932067,373022351.1904761,356500000.0,0.3226990999020318,0.1870601310339732,-2.648726190476187,-3.3333333333333335,385017380.95238096,357939047.61904764,372949058.4415584,0.2592382645990753,0.2816916161772762,0.3224958074052154,-2.90952380952381,-2.442857142857143,-2.645683020683021,1.8916587710380557,1.9373579263687133,5.724561463328398,[0.25095238 0.19166667 0.05928571],[0.20428571 0.20428571 0.        ],[0.26430133 0.22199198 0.04230936]
1,1,5.807055380557431,-0.165743350982666,0,0.7242757242757243,2,0.2297702297702297,369990048.80952394,521000000.0,0.311318336889735,0.2772580216670917,-2.7436666666666625,-1.6666666666666667,363440714.28571427,368055714.28571427,369476345.5988456,0.2442568550486036,0.3948606371006992,0.3118105111956976,-3.1357142857142857,-2.7452380952380953,-2.752693602693603,11.310422895103692,1.3123861849308014,5.875566739721384,[0.27357143 0.18690476 0.08666667],[0.23452381 0.1952381  0.03928571],[0.27499159 0.22603311 0.04895848]
1,1,3.083133661358501,-4.274456977844238,1,0.6593406593406593,2,0.2247752247752247,385779616.6666667,594833333.3333334,0.3495918026149566,0.2366529825025522,-2.373845238095236,0.0,364756428.5714286,356516190.47619045,385225656.56565654,0.3730300937432872,0.2970758488809059,0.349850312484528,-3.507142857142857,-2.65,-2.381830206830206,9.422306931018827,1.9387694492936136,3.1207330610705397,[0.31071429 0.2297619  0.08095238],[0.205      0.17071429 0.03428571],[0.23794267 0.19001369 0.04792898]
1,1,5.092195203487296,-1.9002180099487305,1,0.7172827172827173,1,0.2207792207792207,371564877.38095224,594833333.3333334,0.3136787092447889,0.6486568724968863,-2.659845238095236,0.0,356702857.1428572,301707619.04761904,371256677.48917747,0.393331857330952,0.2009265660801193,0.3133903487977691,-3.5166666666666666,-3.742857142857143,-2.66516354016354,8.450093603134155,7.941828799247742,5.092979892460404,[0.29166667 0.25238095 0.03928571],[0.35428571 0.32       0.03428571],[0.26624742 0.21969031 0.04655711]
1,1,4.0269770604660735,-2.970794677734375,0,0.6593406593406593,23,0.2027972027972027,385028720.2380952,524666666.6666667,0.3087557313544196,0.1374072669347003,-2.431749999999998,-1.6666666666666667,327218571.4285714,370415714.28571427,384761518.7590188,0.3197462001493563,0.1383978429995307,0.3088965317339434,-3.8928571428571432,-2.7095238095238097,-2.434595959595959,10.66896892786026,10.134812378883362,4.0506260453140115,[0.32928571 0.25333333 0.07595238],[0.27095238 0.20238095 0.06857143],[0.24321393 0.19873625 0.04447768]
1,1,5.594851233746857,2.7514164447784424,1,0.7262737262737263,23,0.1888111888111888,371331275.00000006,594833333.3333334,0.3171205670833575,0.4326164416171154,-2.659357142857142,0.0,389649285.71428573,339924761.9047619,371211843.43434346,0.3545355387143395,0.2162628939602789,0.3167720608630707,-2.55,-3.55,-2.665175565175565,2.6099483013153075,18.3188484787941,5.615669746136274,[0.215     0.1297619 0.0852381],[0.335      0.26142857 0.07357143],[0.26624862 0.22424679 0.04200183]
1,1,5.851386200087844,-9.04022216796875,0,0.7282717282717283,2,0.2387612387612387,369030527.3809528,446000000.0,0.3256714262008346,0.6777550462276233,-2.7635238095238104,-3.3333333333333335,423845952.3809523,316095714.28571427,368998680.8561809,0.4087462906530421,0.2321682289855081,0.3259981561636186,-1.961904761904762,-2.880952380952381,-2.762987012987013,-1.7810849376022817,13.005454540252686,5.876174609546286,[0.17619048 0.15119048 0.025     ],[0.26809524 0.23380952 0.03428571],[0.27601989 0.22494955 0.05107035]
1,1,5.020864209927619,-1.0359625816345217,0,0.7112887112887113,1,0.2047952047952048,370985091.6666666,521000000.0,0.3225212238182098,0.5132029433913855,-2.6350119047619005,-1.6666666666666667,375857619.04761904,346260476.1904762,371404419.1919192,0.2895895898332942,0.4511060572224373,0.322461412984026,-2.880952380952381,-2.273809523809524,-2.623581048581049,8.750028544664383,-1.477893801778555,4.981788846255854,[0.22809524 0.20809524 0.02      ],[0.24738095 0.23309524 0.01428571],[0.26209336 0.21982605 0.04226731]
1,1,-0.38681517427884193,-4.034265041351318,60,0.1720827917208279,96,0.064993500649935,471660127.9761908,494333333.3333333,0.6010128273549659,0.399437006833961,-0.5923797619047679,0.0,300730000.0,517940714.2857143,471668230.25406355,0.25755467599003884,0.6408040265982464,0.601019193019127,-2.507142857142857,0.0,-0.5929727346394013,7.1437616243958475,-1.3493195340037345,-0.38576831139671813,[0.22571429 0.11547619 0.1102381 ],[0. 0. 0.],[0.05929134 0.04587605 0.01341529]
